,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Maximera,None,31,Trident,"Attack, Blaze, Absolute Zero, Aqua Breath",110,None,5000,None,30,0,32000,271,No,None,89,Dragon's Den (Cloister of Trials) [WoR] (Holy Palace) [WoR],2000,No,9,150,30,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Attack (3/4), Stone Gaze (1/4)",Stone Gaze (inflicts 'Petrify'),64,"Darkness, Imp, Petrify, Death, Doom, Critical, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",Hi-Ether (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Image",None,0,1,1
Medusa Chicken,Poison,13,Ice Rod,"Attack, Lick, Quake",105,Teleport Stone (1/8),770,None,0,422,2366,234,No,None,38,Ebot's Rock (Everywhere EXCEPT in Rooms with Coral Chests) [WoR],185,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Quake,Easy,Cluck,"Quake (3/4), Lick (1/4)",Lick (inflicts 'Petrify'),33,"Darkness, Poison, Imp, Petrify, Critical, Silence, Berserk Confusion, Sleep",Teleport Stone (1/8),N/A,"Zombie, MagiTek, Invisible, Death, Doom, Image, Sap Slow, Stop",Ice,0,0,0
Mega Armor,None,19,Fist,"Attack, Metal Punch, Magitek Laser",120,None,350,None,0,0,1000,93,No,Protect,21,Imperial Observation Post (Talk to the soldier in the Magitek suit) Vector (While talking to 24 Soldiers before Banquet),50,No,10,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Mega Armor,"Magitek Laser (3/4), Metal Punch (1/4)",Metal Punch (150% damage),45,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Hi-Potion (7/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Megalodoth,None,110,Dragon Claws,"Attack, Bear Claw, Snowstorm",75,Hi-Potion (1/8),50,None,0,90,115,3,No,None,1,"Narshe (Biggs, Wedge, Terra raid) [WoB]",30,No,0,160,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Can't Run Away,Vomammoth,"Snowstorm (3/4), Bear Claw (1/4)",Bear Claw (150% damage),25,Sleep,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Slow, Stop",Fire,0,0,0
Merchant,None,10,Dagger,"Attack, Hit",50,None,26,None,0,60,119,13,No,None,5,Locke's Scenario (South Figaro),20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Libra, Control",None,Can't Run Away,Merchant,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep","Plumed Hat (7/8), Main Gauche (1/8)",Humanoid,None,None,0,0,0
Metal Hitman,None,13,Fist,"Attack, Destroy, Dischord, Magitek Laser",20,None,2000,None,0,700,2000,261,No,None,52,Kefka's Tower (1st/2nd Party,800,No,25,165,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Dischord,Hard,IronHitman,"Dischord (3/4), Destroy (1/4)",Destroy (200% damage),31,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Auto Crossbow (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Misfit,Poison,26,Fist,"Attack, Enmity, Lifeshaver",105,None,750,None,0,786,1750,107,No,Float,26,Floating Continent,140,Yes,10,155,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,Lifeshaver,Easy,Misfit,"Lifeshaver (3/4), Enmity (1/4)",Enmity (inflicts 'Darkness'),35,"Darkness, Zombie, Poison, Imp, Silence, Berserk, Sleep",Alarm Earring (1/8),Undead,"MagiTek, Invisible, Petrify, Death, Doom, Critical, Image Confusion, Sap, Slow, Stop","Fire, Holy",0,0,0
Missile Bay,None,12,Partisan,"Attack, Hit",135,None,0,None,0,0,3000,304,No,None,25,Air (After you get blown off Blackjack by Typhon),7000,No,8,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Can't Run Away,MissileBay,"Attack (3/4), Hit (1/4)",Hit (150% damage),20,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Debilitator (1/8),N/A,"Slow, Stop","Lightning, Water",1,0,0
Misty,None,1,Ice Rod,"Attack, Silence, Cura",110,None,1151,None,20,1260,3580,156,No,None,37,Owzer's Mansion (Painting of Lady) [WoR],500,Yes,8,145,0,"Potion, Potion, Potion, Ribbon (32/256)",None,Cura,Can't Run Away,Dahling,"Cura (3/4), Silence (1/4)",Eyeshadow (inflicts 'Darkness'),35,"Darkness, Zombie, MagiTek, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep",Moogle Suit (1/8),Humanoid,"Poison, Invisible, Image, Sap, Slow, Stop",Poison,0,0,0
Moebius,Lightning,4,Fist,"Attack, Hit",80,None,0,None,0,0,12500,325,Yes,Float,47,Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR],2000,Yes,6,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Moe,"Attack (3/4), Hit (1/4)",Hit (200% damage),25,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Confusion, Sap, Sleep, Slow",None,Humanoid,"Darkness, Image, Berserk, Stop",None,1,0,0
Moonform,Poison,15,Fist,"Attack, Acid Rain, Flash Rain",115,Teleport Stone (1/8),981,None,0,669,2444,236,No,Float,37,Ebot's Rock (Everywhere) [WoR],82,Yes,10,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Flash Rain,Easy,Hipocampus,"Flash Rain (3/4), Acid Rain (1/4)",Mouth Clamp (inflicts 'Sap'),37,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop",Teleport Stone (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap","Fire, Holy",0,0,0
Mousse,None,11,Fist,"Attack, Gunk, Transfusion",110,None,189,"Poison, Wind, Holy, Earth, Water",0,287,900,142,No,Shell,28,North-Western Continent (Grass/Wasteland) [WoR],100,Yes,10,105,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Transfusion,Hard,Muus,"Transfusion (3/4), Gunk (1/4)",Gunk (inflicts 'Slow'),30,"Darkness, Zombie, Poison, Imp, Petrify, Death, Doom Critical, Berserk, Confusion, Sleep",Magicite Shard (1/8),N/A,"MagiTek, Invisible, Image, Silence, Sap, Slow, Stop",None,0,0,0
Mover,Poison,20,Fist,"Attack, Mighty Guard",115,Magicite Shard (1/8),1500,None,225,0,120,243,No,Float,51,"Kefka's Tower (Room after Ultima Buster, Party #2) [WoR]",10500,Yes,10,254,0,"Remedy, Remedy, Remedy, Remedy (64/256)",Meteor Strike,Meltdown,Hard,Mover,"Disaster (3/4), Attack (1/4)",Silencing Touch (inflicts 'Silence'),85,"Imp, Petrify, Doom, Critical, Image, Silence, Berserk Confusion, Sap, Sleep",Super Ball (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Slow Stop",None,0,0,0
Mu,None,11,Fist,Attack,100,None,59,None,0,80,119,16,No,None,7,Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB],100,No,10,155,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",Meteor Strike,Snare,Easy,Rhodox,"Snare (3/4), Maul (1/4)",Maul (500% damage),30,"Darkness, Silence, Berserk","Antidote (7/8), Potion (1/8)",N/A,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Confusion, Sap, Sleep, Slow Stop",None,0,0,0
Mugbear,None,15,Dragon Claws,"Attack, Neck Scratch",165,None,882,None,110,2000,2409,148,Yes,None,34,"Mt. Zozo (Caves, Slopes [Except Slopes with Bridge]) [WoR]",74,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Net,Easy,Ursus,"Fira (3/4), Neck Scratch (1/4)",Neck Scratch (150% damage),34,"Zombie, Poison, MagiTek, Invisible, Silence, Confusion",Thief's Bracer (1/8),N/A,"Darkness, Imp, Petrify, Death, Doom, Critical, Image Berserk, Sap, Sleep, Slow, Stop",Fire,0,0,0
Murussu,None,13,Dragon Claws,"Attack, Carapace",140,Remedy (1/8),321,None,0,356,1111,117,Yes,Protect,26,Southern Continent (Wasteland) [WoR],60,No,10,80,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Stop,Easy,Chitonid,"Attack (3/4), Carapace (1/4)",Carapace (150% damage),25,"Petrify, Death, Silence",Hi-Potion (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Doom Critical, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Lightning,0,0,0
Muud Suud,None,13,Fist,"Attack, Bodyslam, Snowstorm, Blaster",5,None,4200,None,0,100,25000,241,Yes,None,54,"Kefka's Tower (Room after Ultima Buster, Party #2) [WoR]",350,No,15,70,0,"Potion, Potion, Potion, Organyx (32/256)",None,Snowstorm,Hard,Steroidite,"Landslide (3/4), Bodyslam (1/4)",Bodyslam (300% damage),45,"Darkness, Poison, Imp, Petrify, Death, Doom, Critical Silence, Sleep",Thunder Shield (1/8),N/A,"Zombie, MagiTek, Invisible, Image, Berserk, Confusion, Sap Slow, Stop",Holy,0,0,0
Naude,Ice,11,Partisan,"Attack, Hit",115,None,0,"Poison, Wind, Earth, Water",0,0,3000,113,Yes,"Float, Protect",24,Floating Continent (While trying to escape),195,Yes,10,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Naughty,"Attack (3/4), Hit (1/4)",Hit (200% damage),48,"Death, Doom, Critical, Image, Berserk, Confusion, Sap Slow, Stop",None,Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Silence, Sleep","Fire, Lightning, Holy",0,0,0
Nautiloid,Water,18,Magical Brush,"Attack, Ink",100,Eye Drops (1/8),216,None,0,173,236,22,No,Protect,11,Lethe River [WoB],100,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Ink,Easy,Nautiloid,"Attack (3/4), Ink (1/4)",Ink (inflicts 'Darkness'),35,Imp,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop","Fire, Lightning",0,0,0
Neck Hunter,None,5,Rune Blade,"Attack, Mad Sickle, Imp",102,Peace Ring (1/8),588,None,0,1330,1334,137,Yes,Haste,28,South Figaro Cave (Everywhere except in Rooms after Turtle) [WoR] Figaro Castle (Basement) [WoR],150,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Imp,Easy,NeckHunter,"Imp (3/4), Mad Sickle (1/4)",Mad Sickle (inflicts 'Confusion'),30,Imp,Black Cowl (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Poison,0,0,0
Necromancer,Poison,13,Ice Rod,"Attack, Banish, Death, Flare",100,Holy Water (7/8),1510,None,0,791,3525,168,No,Float,48,Phoenix Cave (Upstairs; Non-lava floors) [WoR],900,Yes,7,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Death,Easy,Necromancr,"Death (3/4), Banish (1/4)",Zombie Stick (inflicts 'Zombie'),25,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Phoenix Down (1/8),"Humanoid, Undead","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Nelapa,Fire,11,Partisan,"Attack, Hit",105,None,0,"Poison, Wind, Earth, Water",0,0,2800,308,No,"Float, Reflect",26,Floating Continent (While trying to escape),280,Yes,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Nerapa,"Attack (3/4), Hit (1/4)",Hit (150% damage),48,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Sap, Sleep, Slow",None,Humanoid,"Death, Doom, Berserk, Confusion, Stop","Ice, Lightning, Holy",1,0,0
Neslug (Head),"Ice, Lightning, Water",50,Fist,Attack,180,Gungnir (Always),0,None,50,50000,62000,369,No,Float,97,Dragon's Den (Dragon Temple - Treasure Room) [WoR],62000,No,20,195,50,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Slow (1/4)",Tongue Bath (inflicts 'Stop'),95,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,Nothing,Fire,1,1,1
Neslug (Shell),"Ice, Lightning, Water",60,Fist,Attack,255,None,0,None,0,50000,62000,368,No,Float,97,Dragon's Den (Dragon Temple - Treasure Room) [WoR],62000,Yes,20,255,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Slow (1/4)",Megaton Smash (inflicts 'Death'),80,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,Nothing,Fire,1,1,1
Nettlehopper,None,10,Fist,"Attack, Wing Snap",50,Hi-Potion (1/8),89,None,0,145,243,34,No,Float,11,Overworld (Sabin's Scenario) [Forest] [WoB] Overworld (Area West of Veldt) [Grass],80,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Berserk,Easy,CrassHoppr,"Attack (3/4), Wing Snap (1/4)",Wing Snap (inflicts 'Berserk'),30,"Imp, Sleep",Antidote (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Slow, Stop","Fire, Wind",0,0,0
Nightwalker,Poison,9,Fist,"Attack, Poison, Drain, Bio",140,None,258,None,0,491,265,124,No,"Sap, Float",26,Tzen (Crumbling House) [WoR] - As a random encounter AND Monster-in-a-Box,190,Yes,6,115,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Drain,Easy,Pm Stalker,"Drain (3/4), Poison (1/4)",Sapping Touch (inflicts 'Sap'),20,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",X-Potion (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Ninja,Poison,22,Kiku-ichimonji,"Attack, Flame Scroll, Water Scroll, Lightning Scroll",135,Fuma Shuriken (1/8),694,None,50,520,1650,112,No,Float,27,"Cave to the Sealed Gate (B3F, Hit Right switch) Floating Continent",130,No,5,140,0,"Viper Darts, Viper Darts, Assassin's Dagger, Ichigeki (32/256)",None,Water Scroll,Can't Run Away,Ninja,"Water Scroll (3/4), Flame Scroll (1/4)",Stealth (unblockable; bestows 'Invisible'),37,"Darkness, Petrify, Critical, Confusion, Sap, Sleep, Slow Stop",Angel Wings (1/8),Humanoid,"Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom Image, Silence, Berserk","Lightning, Holy",0,0,0
Number 024,None,20,Rune Blade,"Attack, Overflow",170,"Icebrand (7/8), Flametongue (1/8)",0,None,0,0,4777,292,Yes,None,24,Magitek Research Facility,777,Yes,3,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Number 024,"Attack (3/4), Overflow (1/4)",Overflow (inflicts 'Confusion'),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Silence, Berserk, Confusion, Sap, Slow Stop","Rune Blade (7/8), Blood Sword (1/8)",Humanoid,"Imp, Image, Sleep",None,1,0,0
Number 128,Ice,13,Rune Blade,"Attack, Blood Feast",120,Tent (Always),0,None,0,0,3276,293,No,None,23,Magitek Research Facility (Mine Cart; Boss),810,No,3,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Number 128,"Attack (3/4), Blood Feast (1/4)",Blood Feast (steals HP),30,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Image, Silence, Confusion, Sap, Sleep, Stop",Kazekiri (1/8),N/A,"Darkness, Critical, Berserk, Slow",None,1,0,0
Oceanus,None,15,Fist,"Attack, Corkscrew, Magnitude 8",125,Antidote (1/8),612,None,0,971,1700,132,No,None,27,Figaro Continent (Forest) [WoR],100,No,9,140,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",None,Magnitude 8,Easy,Latimeria,"Magnitude 8 (3/4), Corkscrew (1/4)",Corkscrew (150% damage),35,"Darkness, Poison, Imp, Death, Berserk, Sleep",Gaia Gear (7/8),N/A,"Zombie, MagiTek, Invisible, Petrify, Doom, Critical, Image Silence, Confusion, Sap, Slow, Stop",Lightning,0,0,0
Officer,None,13,Trident,"Attack, Axe",80,Potion (1/8),0,None,0,144,380,26,No,Protect,13,Imperial Camp,48,No,10,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Can't Run Away,Cadet,"Attack (3/4), Axe (1/4)",Axe (150% damage),30,None,None,Humanoid,None,Poison,0,0,0
Omega Weapon,None,111,Fist,Attack,222,Murakumo (1/8),0,None,55,0,65000,384,No,Float,97,Dragon's Den (Kaiser's Lair; After you've beaten Kaiser Dragon) [WoR],65000,Yes,30,222,55,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Grand Delta (1/4)",Omega Drive (150% damage),88,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Megalixir (1/8),N/A,Nothing,None,1,1,1
Onion Dasher,None,10,Dagger,"Attack, Dash, Traveler",150,Green Cherry (1/8),500,None,0,150,2000,190,No,None,33,Yeti's Cave (Umaro's Room & Cave with Tonberries) [WoR],100,No,10,120,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",None,Traveler,Easy,Tomb Thumb,"Traveler (3/4), Dash (1/4)",Dash (bestows 'Haste'),32,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",None,Humanoid,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Onion Knight,None,13,Dagger,"Attack, Gravity, Graviga",200,None,115,None,0,100,250,75,No,None,18,Vector (Talk to the soldier in the Magitek suit) Magitek Research Facility (1st & 2nd Room; Room after Espers; While escaping from Magitek Research Facility),50,No,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Imp,Easy,Pipsqueak,"Roulette (3/4), Imp (1/4)",Program 55 (inflicts 'Imp'),25,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Potion (7/8),Humanoid,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Opinicus Fish,None,13,Fist,"Attack, Hit",100,Potion (1/8),0,None,0,0,10,49,No,Float,9,Baren Falls,60,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Piranha,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Zombie, Poison, Imp, Petrify, Death",None,N/A,"Darkness, MagiTek, Invisible, Doom, Critical, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",Lightning,0,0,0
Ouroboros,Fire,13,Magical Brush,"Attack, Bio, Quake",252,Phoenix Down (1/8),1780,None,0,390,50,163,No,None,48,Phoenix Cave (Downstairs; Lava floors) [WoR],760,No,10,252,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Quake,Easy,Uroburos,"Quake (3/4), Bio (1/4)",Negatouch (inflicts 'Zombie'),40,"Darkness, Imp, Petrify, Critical, Silence, Sleep",Phoenix Down (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Death, Doom, Image Berserk, Confusion, Sap, Slow, Stop",Ice,0,0,0
Outcast,"Fire, Poison",18,Fist,"Attack, Glare, Lifeshaver",110,Holy Water (1/8),740,None,0,442,1100,87,No,Float,21,"Cave to the Sealed Gate (B1F, B2F, and B3F)",50,No,12,150,0,"Remedy, Remedy, Remedy, Remedy (128/256)",Meteor Strike,Lifeshaver,Easy,Ing,"Lifeshaver (3/4), Glare (1/4)",Glare (inflicts 'Darkness'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Amulet (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Holy, Water",0,0,0
Outsider,Poison,15,Kiku-ichimonji,"Attack, Dispatch, Banish, Flare",105,None,2600,None,0,2800,8050,250,No,Haste,18,Kefka's Tower (1st Party,400,No,4,155,0,"Viper Darts, Viper Darts, Assassin's Dagger, Ichigeki (32/256)",Meteor Strike,Holy,Hard,Outsider,"Attack (3/4), Dispatch (1/4)",Dispatch (inflicts 'Death'),40,"Darkness, Poison, Imp, Berserk, Confusion, Sleep",Stoneblade (1/8),Humanoid,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical Image, Silence, Sap, Slow, Stop",Holy,0,0,0
Oversoul,Poison,12,Ice Rod,"Attack, Dread Gaze",55,"Green Cherry (7/8), Holy Water (1/8)",65,None,0,228,390,44,No,None,13,Phantom Train (Only after you detach part of the train),190,No,7,150,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Will o' the Wisp,Easy,Over-Mind,"Attack (3/4), Dread Gaze (1/4)",Insanitouch (inflicts 'Confusion'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Hi-Potion (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Pandora,Poison,13,Fist,"Attack, Hypno Gas, Revenge Blast",140,None,622,None,0,461,1522,212,No,Float,39,Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR],350,Yes,10,80,0,"Potion, Potion, Potion, Ribbon (32/256)",Meteor Strike,Revenge Blast,Easy,Pan Dora,"Revenge Blast (3/4), Hypno Gas (1/4)",Hypno Gas (inflicts 'Sleep'),25,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",None,Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Paraladia,None,13,Magical Brush,"Attack, Poison Touch, Confuse",125,None,219,None,0,365,492,61,No,None,15,Forest near Kohlingen,100,No,10,125,0,"Remedy, Remedy, Remedy, Remedy (255/256)",Meteor Strike,Poison Touch,Easy,Over Grunk,"Poison (3/4), Poison Touch (1/4)",Poison Touch (inflicts 'Poison'),30,"Darkness, Zombie, Imp, Berserk, Confusion, Sleep","Hi-Potion (7/8), Remedy (1/8)",N/A,"Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical Image, Silence, Sap, Slow, Stop",Fire,0,0,0
Parasite,None,1,Fist,"Attack, Mind Stop, Gigavolt",140,None,455,None,0,461,1000,213,No,Float,39,Cyan's Dream/Dreamscape (Everywhere but Cave) [WoR],230,Yes,1,5,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Gigavolt,Hard,Parasite,"Gigavolt (3/4), Mind Stop (1/4)",Mind Stop (inflicts 'Stop'),20,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",None,N/A,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop",Fire,0,0,0
Peeper,None,7,Fist,"Attack, Tail, White Wind",5,None,2,None,0,0,1,116,No,Sap,23,Solitary Island [WoR] Southern Continent (Desert) [WoR],19,No,10,5,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",Meteor Strike,White Wind,Easy,Peepers,"White Wind (3/4), Tail (1/4)",Tail (150% damage),35,Poison,Elixir (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop","Ice, Water",0,0,0
Phantom Train,Poison,10,Fist,"Attack, Wheel",30,Tent (Always),0,None,0,0,1900,284,No,None,14,Phantom Train (Boss),350,No,5,210,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,GhostTrain,"Attack (3/4), Wheel (1/4)",Wheel (200% damage),30,"Darkness, Zombie, Poison, Invisible, Imp, Petrify, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",None,Undead,"MagiTek, Death, Doom, Critical, Image","Fire, Lightning, Holy",1,0,0
